web-scraper-order,web-scraper-start-url,name,price,adress,im_link-src
"1717201643-1","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","80 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg"
"1717201643-2","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches hollandaises","Prix sur demande","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg"
"1717201643-3","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Géniteur hollandais Holstein","1 200 000CFA","Mboro, Sénégal","https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg"
"1717201643-4","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg"
"1717201643-5","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Souris blanc","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg"
"1717201643-6","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couples Paons","250 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg"
"1717201643-7","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat blanc turc","150 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg"
"1717201643-8","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg"
"1717201643-9","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Hamster","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323881_uploaded_image1_1592771877.jpg"
"1717201643-10","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Kittens / chatons","90 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg"
"1717201643-11","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg"
"1717201643-12","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","130 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg"
"1717201643-13","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg"
"1717201643-14","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","1 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg"
"1717201643-15","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau Nélore","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg"
"1717201643-16","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton york chocolat","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg"
"1717201643-17","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","600 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg"
"1717201643-18","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poussins brahman et cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg"
"1717201643-19","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg"
"1717201643-20","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf élevage","750 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg"
"1717201643-21","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg"
"1717201643-22","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_2101033_uploaded_image1_1589299004.8.jpeg"
"1717201643-23","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_2100432_uploaded_image1_1589292193.8.jpeg"
"1717201643-24","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_2100423_uploaded_image1_1589292099.81.jpeg"
"1717201643-25","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg"
"1717201643-26","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre Race Boer","650 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg"
"1717201643-27","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan blanc","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg"
"1717201643-28","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan chinchilla","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg"
"1717201643-29","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","475CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg"
"1717201643-30","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","20 000CFA","Sénégal","https://images.coinafrique.com/thumb_1963549_uploaded_image1_1587144116.43.jpeg"
"1717201643-31","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg"
"1717201643-32","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg"
"1717201643-33","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1717201643-34","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Persan","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png"
"1717201643-35","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png"
"1717201643-36","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat Siamois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png"
"1717201643-37","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindon rouge","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1717201643-38","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat siamois","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1717201643-39","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","600 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png"
"1717201643-40","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","750 000CFA","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1717201643-41","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple de chèvre","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png"
"1717201643-42","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","275 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png"
"1717201643-43","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","700 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png"
"1717201643-44","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes - canards et colverts","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
"1717201643-45","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Biscuit en poudre pour betail","4 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1717201643-46","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1717201643-47","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png"
"1717201643-48","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png"
"1717201643-49","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1717201643-50","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1717201643-51","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png"
"1717201643-52","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies de guinée","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png"
"1717201643-53","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png"
"1717201643-54","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png"
"1717201643-55","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseaux exotiques","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png"
"1717201643-56","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png"
"1717201643-57","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailles","12 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png"
