web-scraper-order,web-scraper-start-url,name,price,adress,im_link-src
"1717198349-1","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862148_uploaded_image1_1585459981.26.png"
"1717198349-2","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862142_uploaded_image1_1585459853.32.png"
"1717198349-3","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862112_uploaded_image1_1585456241.69.png"
"1717198349-4","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Spitz nain pomeranian","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862107_uploaded_image1_1585455904.62.png"
"1717198349-5","https://sn.coinafrique.com/categorie/chiens?page=9","Caniches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1840583_uploaded_image1_1585048857.01.png"
"1717198349-6","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png"
"1717198349-7","https://sn.coinafrique.com/categorie/chiens?page=9","Doberman pure souche","350 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png"
"1717198349-8","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Bichon","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_1733519_uploaded_image2_1583168047.85.png"
"1717198349-9","https://sn.coinafrique.com/categorie/chiens?page=9","Cani corso","600 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png"
"1717198349-10","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger belge malinois","175 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png"
"1717198349-11","https://sn.coinafrique.com/categorie/chiens?page=9","Doberman","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png"
"1717198349-12","https://sn.coinafrique.com/categorie/chiens?page=9","Pékinois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592664_uploaded_image1_1580822577.52.png"
"1717198349-13","https://sn.coinafrique.com/categorie/chiens?page=9","Doberman lignée européenne","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1592645_uploaded_image1_1580822366.65.png"
