web-scraper-order,web-scraper-start-url,name,price,adress,im_link-src
"1717200860-1","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","160 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743068_uploaded_image1_1563041352.73.png"
"1717200860-2","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","160 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743067_uploaded_image1_1563041352.31.png"
"1717200860-3","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743066_uploaded_image1_1563041262.7.png"
"1717200860-4","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743065_uploaded_image1_1563041220.15.png"
"1717200860-5","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","Sénégal","https://images.coinafrique.com/thumb_742328_uploaded_image1_1563020125.88.png"
"1717200860-6","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","190 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_730962_uploaded_image1_1562758817.51.png"
"1717200860-7","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","250 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_725090_uploaded_image1_1562603963.91.png"
"1717200860-8","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","Koussanar, Sénégal","https://images.coinafrique.com/thumb_724916_uploaded_image1_1562601308.96.png"
"1717200860-9","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_723681_uploaded_image1_1562583405.41.png"
"1717200860-10","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_722669_uploaded_image1_1562546978.82.png"
"1717200860-11","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de race","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_721746_uploaded_image1_1562546733.94.png"
"1717200865-12","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","230 000CFA","Sénégal","https://images.coinafrique.com/thumb_1318185_uploaded_image1_1575932357.93.png"
